0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 3
Fruit sharing           : 5
Fruit's generating speed: 7
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :kind
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S1	0	5	10	100	100	0	0	0.8931180315263361	5	0
S2	0	6	20	100	100	0	0	0.8589004229142637	5	0
S3	0	7	30	100	100	0	0	0.8619761630142253	5	0
S4	0	5	40	100	100	0	0	0.8362168396770473	11	0
S5	0	6	50	100	100	0	0	0.7750865051903114	11	0
S6	0	7	60	100	100	0	0	0.7650903498654363	11	0
S7	0	5	60	100	100	0	0	0.7497116493656286	17	0
S8	0	6	60	100	100	0	0	0.7597078046905037	17	0
S9	0	7	60	100	100	0	0	0.7562475970780469	17	0
S10	0	5	10	100	100	0	0	0.8988850442137639	23	0
S11	0	6	20	100	100	0	0	0.8542868127643214	23	0
S12	0	7	30	100	100	0	0	0.837754709727028	23	0
S13	0	5	40	100	100	0	0	0.7985390234525183	29	0
S14	0	6	50	100	100	0	0	0.7920030757401	29	0
S15	0	7	60	100	100	0	0	0.7566320645905421	29	0
S16	0	5	60	100	100	0	0	0.7531718569780853	35	0
S17	0	6	60	100	100	0	0	0.7612456747404844	35	0
S18	0	7	60	100	100	0	0	0.778162245290273	35	0
S19	0	5	10	100	100	0	0	0.8935024990388312	41	0
S20	0	6	20	100	100	0	0	0.8638985005767013	41	0
S21	0	7	30	100	100	0	0	0.8385236447520185	41	0
S22	0	5	40	100	100	0	0	0.8166089965397924	47	0
S23	0	6	50	100	100	0	0	0.8266051518646674	47	0
S24	0	7	60	100	100	0	0	0.7927720107650903	47	0
S25	0	5	60	100	100	0	0	0.7681660899653979	53	0
S26	0	6	60	100	100	0	0	0.7831603229527105	53	0
S27	0	7	60	100	100	0	0	0.7835447904652056	53	0
