"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"84","S28",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"87","S29",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"90","S30",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"93","S31",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"96","S32",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"99","S33",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"102","S34",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"105","S35",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"108","S36",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"111","S37",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"114","S38",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"117","S39",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"120","S40",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"123","S41",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"126","S42",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"129","S43",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"132","S44",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"135","S45",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"138","S46",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"141","S47",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"144","S48",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"147","S49",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"150","S50",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
