"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"3","S1",2000,3,10,7,7,0,0,0.88158400615148,5,0,0.3125,"(5,3)","kind"
"6","S2",2000,3,10,6,6,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"9","S3",2000,3,10,10,10,0,0,0.901960784313726,5,0,0.3125,"(5,3)","kind"
"12","S4",2000,3,10,4,4,0,0,0.889273356401384,5,0,0.3125,"(5,3)","kind"
"15","S5",2000,3,10,9,9,0,0,0.899653979238754,5,0,0.3125,"(5,3)","kind"
"18","S6",2000,3,10,9,9,0,0,0.90157631680123,5,0,0.3125,"(5,3)","kind"
"21","S7",2000,3,10,8,8,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"24","S8",2000,3,10,5,5,0,0,0.905036524413687,5,0,0.3125,"(5,3)","kind"
"27","S9",2000,3,10,7,7,0,0,0.890042291426374,5,0,0.3125,"(5,3)","kind"
"30","S10",2000,3,10,7,7,0,0,0.888119953863899,5,0,0.3125,"(5,3)","kind"
"33","S11",2000,3,10,4,4,0,0,0.890811226451365,5,0,0.3125,"(5,3)","kind"
"36","S12",2000,3,10,7,7,0,0,0.900422914263745,5,0,0.3125,"(5,3)","kind"
"39","S13",2000,3,10,6,6,0,0,0.892349096501346,5,0,0.3125,"(5,3)","kind"
"42","S14",2000,3,10,9,9,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"45","S15",2000,3,10,8,8,0,0,0.89196462898885,5,0,0.3125,"(5,3)","kind"
"48","S16",2000,3,10,8,8,0,0,0.898500576701269,5,0,0.3125,"(5,3)","kind"
"51","S17",2000,3,10,6,6,0,0,0.887735486351403,5,0,0.3125,"(5,3)","kind"
"54","S18",2000,3,10,5,5,0,0,0.890811226451365,5,0,0.3125,"(5,3)","kind"
"57","S19",2000,3,10,8,8,0,0,0.895040369088812,5,0,0.3125,"(5,3)","kind"
"60","S20",2000,3,10,5,5,0,0,0.890042291426374,5,0,0.3125,"(5,3)","kind"
"63","S21",2000,3,10,5,5,0,0,0.90003844675125,5,0,0.3125,"(5,3)","kind"
"66","S22",2000,3,10,6,6,0,0,0.898116109188774,5,0,0.3125,"(5,3)","kind"
"69","S23",2000,3,10,0,0,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"72","S24",2000,3,10,3,3,0,0,0.893118031526336,5,0,0.3125,"(5,3)","kind"
"75","S25",2000,3,10,6,6,0,0,0.886197616301423,5,0,0.3125,"(5,3)","kind"
"78","S26",2000,3,10,9,9,0,0,0.898885044213764,5,0,0.3125,"(5,3)","kind"
"81","S27",2000,3,10,5,5,0,0,0.900422914263745,5,0,0.3125,"(5,3)","kind"
"84","S28",2000,3,10,7,7,0,0,0.888888888888889,5,0,0.3125,"(5,3)","kind"
"87","S29",2000,3,10,6,6,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"90","S30",2000,3,10,10,10,0,0,0.889273356401384,5,0,0.3125,"(5,3)","kind"
"93","S31",2000,3,10,8,8,0,0,0.892349096501346,5,0,0.3125,"(5,3)","kind"
"96","S32",2000,3,10,8,8,0,0,0.89042675893887,5,0,0.3125,"(5,3)","kind"
"99","S33",2000,3,10,9,9,0,0,0.895424836601307,5,0,0.3125,"(5,3)","kind"
"102","S34",2000,3,10,9,9,0,0,0.89196462898885,5,0,0.3125,"(5,3)","kind"
